ds,y
2021-01-18,2072753.0
2021-01-19,2024561.0
2021-01-20,1987125.0
2021-01-21,1961875.0
2021-01-22,1944732.0
2021-01-23,1924002.0
2021-01-24,1886708.0
2021-01-25,1820014.0
2021-01-26,1778168.0
2021-01-27,1758730.0
2021-01-28,1758504.0
2021-01-29,1748487.0
2021-01-30,1738373.0
2021-01-31,1734570.0
2021-02-01,1700581.0
2021-02-02,1693183.0
2021-02-03,1697791.0
2021-02-04,1683337.0
2021-02-05,1687656.0
2021-02-06,1698198.0
