ds,yhat,yhat_lower,yhat_upper,y
2020-09-13,1123458.5416463586,983179.2163543171,1269235.396890303,1198304.0
2020-09-14,1130522.4578969376,985678.8289948449,1273148.028275387,1177947.0
2020-09-15,1142569.1707307284,987616.5112980017,1291832.2854076892,1182812.0
2020-09-16,1159915.5753751858,1021465.3929057294,1319599.3782351085,1190066.0
2020-09-17,1179889.065353173,1031237.8069344808,1328083.4308855648,1190355.0
2020-09-18,1200859.5275202156,1054709.8564740135,1336659.3282866473,1194179.0
2020-09-19,1216615.1390867159,1070444.415309174,1362727.3083843372,1203415.0
2020-09-20,1228847.406254054,1080766.9276802507,1368427.4996240884,1229906.0
2020-09-21,1236998.0900502887,1094410.8448419378,1389231.5332992263,1229562.0
2020-09-22,1249338.3542856732,1099069.5522634487,1397574.548269758,1227031.0
2020-09-23,1266147.6116089902,1115550.156484534,1410806.1364405667,1233528.0
2020-09-24,1284738.2221285044,1144802.924158189,1440530.1859794778,1253351.0
2020-09-25,1303488.4585689232,1167300.9722219885,1446830.6160963078,1267139.0
2020-09-26,1316218.6105135013,1177951.152178395,1469990.876587849,1270138.0
2020-09-27,1324675.648976599,1189809.326329217,1476428.9234493913,1262542.0
2020-09-28,1328379.0978121676,1174053.9778826814,1479718.8153316486,1266625.0
2020-09-29,1335698.467422649,1191915.3276282947,1490046.6392505225,1263317.0
2020-09-30,1347029.7664113604,1203858.499293585,1503672.786224429,1272398.0
2020-10-01,1359817.3034719808,1218666.5676340796,1511930.7774359519,1292006.0
2020-10-02,1372583.2679204866,1232386.4599980607,1512153.9231645789,1325675.0
2020-10-03,1379300.0505111117,1221827.054805247,1521429.260946302,1350174.0
2020-10-04,1381870.827073613,1234775.1227397674,1523622.3321083877,1363870.0
2020-10-05,1379971.162193875,1242625.2807672266,1523675.5195717127,1373346.0
2020-10-06,1382122.1054676694,1247775.3387728329,1516056.6180068702,1399423.0
2020-10-07,1388862.4161346392,1243037.8720850225,1524578.2842336784,1433546.0
2020-10-08,1397766.2482444732,1259131.7799981553,1552132.4599256122,1466334.0
2020-10-09,1407468.9009981104,1265737.4739082598,1558396.9847964095,1478573.0
2020-10-10,1412035.7052281688,1273353.3023501316,1559275.3033160311,1473163.0
2020-10-11,1413439.6675453675,1272616.1302871055,1564040.1575470767,1461751.0
2020-10-12,1411400.7162462177,1266083.6595634979,1554511.8688292692,1454450.0
2020-10-13,1414457.0920273745,1263900.970275077,1553961.446483175,1443229.0
2020-10-14,1423136.5731823645,1285699.5692208176,1569018.6559857554,1442551.0
2020-10-15,1434973.9020268933,1278471.0356924303,1583750.471481112,1443047.0
2020-10-16,1448537.0318215452,1306204.8460989187,1600680.5830145706,1459783.0
2020-10-17,1457797.2592297485,1307923.0629449484,1595395.2041774644,1469967.0
2020-10-18,1464608.8377977726,1327743.0097887465,1607386.5630111673,1480544.0
2020-10-19,1468550.869995094,1330198.278611157,1610577.330892582,1492030.0
2020-10-20,1478001.9567615665,1324739.149618712,1627000.5235380419,1509886.0
2020-10-21,1493315.2125558222,1348780.9093635292,1631447.2726579502,1534087.0
2020-10-22,1511839.9167021867,1364116.8239984124,1648038.2727311673,1555819.0
2020-10-23,1531952.3119105878,1380884.913813573,1681893.9108021522,1573678.0
2020-10-24,1547430.4984348528,1398225.4515954866,1690866.4597794442,1579442.0
2020-10-25,1559938.8956555068,1415967.0068107676,1702731.7798543258,1578937.0
2020-10-26,1568874.9432773325,1423109.8777387443,1723737.461376097,1546554.0
2020-10-27,1582448.3962278115,1434336.3385790773,1731728.1184393568,1513139.0
2020-10-28,1600860.7006844461,1451825.1705073512,1743627.7357327116,1493571.0
2020-10-29,1621330.6088963454,1484931.728325024,1776859.334337127,1512872.0
2020-10-30,1642128.4414465677,1499509.364779125,1785418.4270793265,1544508.0
2020-10-31,1656953.8555576815,1515042.3317672717,1802527.338401745,1565163.0
2020-11-01,1667422.518234916,1533994.5061278155,1829502.0954189922,1587304.0
2020-11-02,1672914.3001034872,1529841.07027731,1808725.069367164,1635809.0
2020-11-03,1681653.3070492663,1546136.3139932367,1834504.2767221383,1670300.0
2020-11-04,1693887.220084755,1545089.5948319838,1837267.1914929093,1697094.0
2020-11-05,1706912.104055171,1555019.5292946303,1855146.1142202578,1711425.0
2020-11-06,1719105.1172357001,1581098.6882001963,1872515.458459781,1737851.0
2020-11-07,1724300.022806638,1584210.3404017757,1867088.770878128,1757630.0
2020-11-08,1724270.96150184,1573270.3587894023,1871507.7044999963,1769805.0
2020-11-09,1718577.177988217,1573659.8207058257,1870787.335174045,1738983.0
2020-11-10,1715639.1088140255,1579417.3676909022,1854560.389410816,1722503.0
2020-11-11,1715913.404386478,1564920.628201349,1848750.8671356763,1739185.0
2020-11-12,1716913.1564984191,1572441.5696221886,1862500.1993781622,1743666.0
2020-11-13,1717235.8794326365,1569980.6934827303,1860743.246150015,1745469.0
2020-11-14,1710934.2641638336,1564797.7881307295,1857262.4590979293,1739312.0
2020-11-15,1699995.2826111852,1554980.0033657416,1847980.3267513223,1720709.0
2020-11-16,1684180.447578175,1540598.5217702298,1830736.3195528209,1699132.0
2020-11-17,1672097.742818847,1520839.8335899562,1817935.6016077232,1692640.0
2020-11-18,1664372.8919043168,1520467.7219685307,1799885.9876393308,1686465.0
2020-11-19,1658666.3214503324,1517727.1187061756,1803089.3812234905,1684248.0
2020-11-20,1653698.436293101,1508988.179104435,1795010.543662171,1683329.0
2020-11-21,1643618.2796298137,1501188.6961634539,1786792.2996820463,1685878.0
2020-11-22,1630481.1911078042,1491972.282049888,1773848.427165537,1685723.0
2020-11-23,1614088.2870899457,1473509.985935889,1758941.979284278,1650261.0
2020-11-24,1603058.2773976503,1436440.8457204832,1745413.5735384682,1621392.0
2020-11-25,1597999.2698535314,1448981.8280703877,1734565.9710339196,1615203.0
2020-11-26,1596526.8837558022,1444144.8490758995,1744451.454686126,1613757.0
2020-11-27,1597291.240268873,1443876.029831623,1751098.2265017878,1600166.0
2020-11-28,1594347.8387014468,1446310.399484479,1738660.8525347067,1589956.0
2020-11-29,1589637.8569569276,1444233.5774907041,1739549.9882615344,1581876.0
2020-11-30,1582830.6157953881,1432701.5911789208,1726604.1859268888,1556365.0
2020-12-01,1582398.6303812733,1437590.8625710153,1733364.4809543125,1535609.0
2020-12-02,1588792.8058233154,1441116.3600255046,1733466.654411918,1536680.0
2020-12-03,1599464.0023849388,1456416.6111900469,1742745.6009593522,1543980.0
2020-12-04,1612893.4445396739,1469685.2724326483,1748857.2614207598,1558127.0
2020-12-05,1622966.8943782672,1481510.5213141278,1767283.496526679,1561965.0
2020-12-06,1631458.0453910541,1485791.193588726,1769785.5060699475,1565654.0
2020-12-07,1637873.8041118062,1492909.5268620618,1789887.1455323838,1554828.0
2020-12-08,1650531.8219749578,1500916.6548838392,1792338.3070532952,1554440.0
2020-12-09,1669737.785871868,1536155.2651813345,1809466.9006925155,1562983.0
2020-12-10,1692808.658822985,1556524.4542909772,1849789.3099042752,1600871.0
2020-12-11,1718104.3253010886,1569548.2554897584,1863782.2313200491,1647180.0
2020-12-12,1739402.5568775153,1598947.0982000893,1873353.4128687163,1686361.0
2020-12-13,1758382.7639122456,1615936.9079950033,1907659.691555987,1726611.0
2020-12-14,1774471.224267655,1627180.7987509798,1919472.0371131806,1768658.0
2020-12-15,1795918.187533287,1660632.3081057677,1935193.076763711,1819354.0
2020-12-16,1822974.4104830122,1680902.1139147498,1981096.6146357283,1880584.0
2020-12-17,1852913.3716481628,1705783.9507533028,2006062.3348792025,1951324.0
2020-12-18,1884061.6830956475,1728050.9969020374,2033924.5471499688,2037744.0
2020-12-19,1910172.6833893573,1759075.2839973571,2050617.066522386,2088258.0
2020-12-20,1932908.7480508322,1784709.6133871952,2075642.099693475,2170939.0
2020-12-21,1951685.0788812244,1803043.3101013852,2088958.9747745437,2259336.0
2020-12-22,1974745.4383325607,1833718.9453869662,2129374.3697584537,2329331.0
2020-12-23,2002337.447321013,1866664.1966674204,2145669.5100300517,2369486.0
2020-12-24,2031733.7498460233,1892705.6151726488,2164314.1100672227,2278904.0
2020-12-25,2061261.608895164,1907305.2790324257,2201253.0165870874,2042215.0
2020-12-26,2084675.9533298775,1933502.573377159,2219413.886859739,1994218.0
2020-12-27,2103641.4359033727,1942011.2449539613,2250924.7486148574,1944890.0
2020-12-28,2117576.274915838,1976271.1940057604,2266656.612589461,1703358.0
2020-12-29,2134728.3437755164,1986058.140871967,2273533.7372440803,1713639.0
2020-12-30,2155351.111946804,2009516.1518104116,2285790.6712857503,1764313.0
2020-12-31,2176725.7132533817,2020810.4578620957,2313280.3160859155,1844345.0
2021-01-01,2197191.667076055,2048181.63067352,2334174.6359235668,1937254.0
2021-01-02,2210521.2229824327,2067313.786219637,2363967.577685507,2060341.0
2021-01-03,2218402.83125016,2074242.9712966608,2365514.2341227513,2097944.0
2021-01-04,2220286.447545433,2066377.7191165972,2366309.5447418476,2264180.0
2021-01-05,2224461.0674510216,2073139.5339290868,2364662.2097396324,2240825.0
2021-01-06,2231232.0237971325,2084820.2691767574,2373953.8593987846,2233170.0
2021-01-07,2237944.2527586813,2087487.3516563822,2374257.1966152512,2325519.0
2021-01-08,2243013.987256008,2092766.5585663088,2382659.811861703,2504542.0
2021-01-09,2240303.786613622,2099046.0381964715,2377170.4514481886,2467780.0
2021-01-10,2231606.351034442,2078322.9494361957,2372701.250260338,2432063.0
2021-01-11,2216489.7849770216,2063578.1946456998,2358008.3724821135,2380391.0
2021-01-12,2203374.6724370704,2058205.5155377549,2344521.9200094515,2338292.0
2021-01-13,2192710.477285447,2049035.9571114841,2332063.0554608195,2284784.0
